dataset,no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
sample_100_dim_1200,12,0.8019508279,0.783279917,0.9853326655,0.6134288032,0.6278357152,0.9848844373,random with centroids
sample_100_dim_1200,12,0.964160659,0.9512438602,0.9935460832,0.3933135844,0.3931795925,0.9943228345,random with centroids
sample_100_dim_1200,12,0.8029607816,0.8005554465,0.9988669941,0.2916360374,0.2864290453,0.9981055701,random with centroids
sample_100_dim_1200,14,0.870726529,0.8663108532,0.9951125809,0.764562317,0.7777112101,0.9842926896,random with centroids
sample_100_dim_1200,14,0.8983647321,0.8519850399,0.9765318301,0.475788302,0.446919396,0.9393139715,random with centroids
sample_100_dim_1200,14,0.8200798217,0.7979183321,0.9811579557,0.4409841179,0.4196697411,0.97704614,random with centroids
sample_100_dim_1200,14,0.8926544648,0.8877109826,0.9990825287,0.1546637785,0.1567503018,0.9994289854,random with centroids
sample_100_dim_1200,14,0.9198827877,0.9141047038,0.9980270512,0.5731109688,0.5250578147,0.9880371119,random with centroids
sample_100_dim_1200,14,0.7861356945,0.7536320991,0.9855991562,0.5701249532,0.5442877124,0.9682045481,random with centroids
sample_100_dim_1200,14,0.9543514588,0.9510873141,0.9982809005,0.7138015322,0.7446026095,0.9851492051,random with centroids
sample_100_dim_1200,14,0.9321355601,0.900131457,0.9847231535,0.4094660144,0.3717387484,0.9475147902,random with centroids
sample_100_dim_1200,14,0.8988328347,0.8993162655,0.9980737539,0.5301153051,0.5359022546,0.9979397339,random with centroids
sample_100_dim_1200,14,0.9057292253,0.8925028334,0.9926387255,0.7087553143,0.642619458,0.9878182202,random with centroids
sample_100_dim_1200,14,0.946241417,0.9144091366,0.9798630305,0.3626796868,0.3463862645,0.9208491638,random with centroids
sample_100_dim_1200,14,0.8397201698,0.8318362911,0.9931664556,0.3615870619,0.3582081016,0.9949715862,random with centroids
sample_100_dim_1200,14,0.7208576277,0.7163119085,0.96344896,0.2414358343,0.2851170235,0.9742155952,random with centroids
