FileName,Content
FEDM_PEDM_using_N_centroids_12points_iter13.txt,"Shape of Generated Spikes (24, 48708)
Pearson correlation between true and predicted global matrices: 0.7408272656141384
Pearson correlation between true and federated global matrices: 0.7567213735149151
Pearson correlation between federated and predicted global matrices: 0.9696181220229196
Spearman correlation between true and predicted global matrices: 0.7131484733456785
Spearman correlation between true and federated global matrices: 0.7307110547216114
Spearman correlation between federated and predicted global matrices: 0.9704119153288884"
FEDM_PEDM_using_N_centroids_12points_iter14.txt,"Shape of Generated Spikes (24, 48708)
Pearson correlation between true and predicted global matrices: 0.7270254616465195
Pearson correlation between true and federated global matrices: 0.7447010303073209
Pearson correlation between federated and predicted global matrices: 0.9751985092959071
Spearman correlation between true and predicted global matrices: 0.700024236491279
Spearman correlation between true and federated global matrices: 0.7175027312720399
Spearman correlation between federated and predicted global matrices: 0.9762616728600433"
FEDM_PEDM_using_N_centroids_12points_iter15.txt,"Shape of Generated Spikes (24, 48708)
Pearson correlation between true and predicted global matrices: 0.7286229420012893
Pearson correlation between true and federated global matrices: 0.746664950184095
Pearson correlation between federated and predicted global matrices: 0.9741923994482589
Spearman correlation between true and predicted global matrices: 0.7073868759409231
Spearman correlation between true and federated global matrices: 0.7261574742901296
Spearman correlation between federated and predicted global matrices: 0.9715880907255126"
FEDM_PEDM_using_N_centroids_12points_iter2.txt,"Shape of Generated Spikes (24, 48708)
Pearson correlation between true and predicted global matrices: 0.73368366174329
Pearson correlation between true and federated global matrices: 0.7545711802409604
Pearson correlation between federated and predicted global matrices: 0.9625509571099349
Spearman correlation between true and predicted global matrices: 0.7060324186683287
Spearman correlation between true and federated global matrices: 0.7274967019283013
Spearman correlation between federated and predicted global matrices: 0.9686733479006172"
FEDM_PEDM_using_N_centroids_12points_iter3.txt,"Shape of Generated Spikes (24, 48708)
Pearson correlation between true and predicted global matrices: 0.7351095233542382
Pearson correlation between true and federated global matrices: 0.7488416507406016
Pearson correlation between federated and predicted global matrices: 0.9712144424451786
Spearman correlation between true and predicted global matrices: 0.7106761639350708
Spearman correlation between true and federated global matrices: 0.719974779860541
Spearman correlation between federated and predicted global matrices: 0.9711478618678172"
FEDM_PEDM_using_N_centroids_12points_iter4.txt,"Shape of Generated Spikes (24, 48708)
Pearson correlation between true and predicted global matrices: 0.7397062000331278
Pearson correlation between true and federated global matrices: 0.7598087681728529
Pearson correlation between federated and predicted global matrices: 0.9640910327473128
Spearman correlation between true and predicted global matrices: 0.7204518859233029
Spearman correlation between true and federated global matrices: 0.7357675881054094
Spearman correlation between federated and predicted global matrices: 0.9678435033102383"
FEDM_PEDM_using_N_centroids_12points_iter5.txt,"Shape of Generated Spikes (24, 48708)
Pearson correlation between true and predicted global matrices: 0.7339032143390055
Pearson correlation between true and federated global matrices: 0.7494190153687187
Pearson correlation between federated and predicted global matrices: 0.9644806654036517
Spearman correlation between true and predicted global matrices: 0.7101821506069148
Spearman correlation between true and federated global matrices: 0.7251071557472293
Spearman correlation between federated and predicted global matrices: 0.9773117132551369"
FEDM_PEDM_using_N_centroids_12points_iter6.txt,"Shape of Generated Spikes (24, 48708)
Pearson correlation between true and predicted global matrices: 0.7308773383729334
Pearson correlation between true and federated global matrices: 0.7482853195886631
Pearson correlation between federated and predicted global matrices: 0.9704066541526994
Spearman correlation between true and predicted global matrices: 0.7011035957952173
Spearman correlation between true and federated global matrices: 0.72158572419843
Spearman correlation between federated and predicted global matrices: 0.9705539914757649"
FEDM_PEDM_using_N_centroids_12points_iter7.txt,"Shape of Generated Spikes (24, 48708)
Pearson correlation between true and predicted global matrices: 0.7343911206467698
Pearson correlation between true and federated global matrices: 0.7506816348514936
Pearson correlation between federated and predicted global matrices: 0.9700601829415795
Spearman correlation between true and predicted global matrices: 0.7081133079164229
Spearman correlation between true and federated global matrices: 0.7219182398277164
Spearman correlation between federated and predicted global matrices: 0.9724501870614428"
FEDM_PEDM_using_N_centroids_12points_iter8.txt,"Shape of Generated Spikes (24, 48708)
Pearson correlation between true and predicted global matrices: 0.734883175613045
Pearson correlation between true and federated global matrices: 0.7477553762348832
Pearson correlation between federated and predicted global matrices: 0.9701672832632038
Spearman correlation between true and predicted global matrices: 0.7132847702290835
Spearman correlation between true and federated global matrices: 0.7238095830595274
Spearman correlation between federated and predicted global matrices: 0.9642164707896408"
